latitude,longitude,room_type,bathrooms,bedrooms,beds,price,property_type,accommodates
37.78904,-122.41013,Entire home/apt,1.0,0.0,2.0,292.0,Entire condo,4
37.77316,-122.44788,Entire home/apt,1.5,2.0,2.0,303.0,Entire condo,4
37.7915,-122.39595,Entire home/apt,1.0,1.0,1.0,300.0,Entire serviced apartment,2
37.78025,-122.44239,Entire home/apt,1.0,2.0,2.0,192.0,Entire condo,4
37.775085,-122.407234,Entire home/apt,2.0,3.0,4.0,504.0,Entire condo,8
37.78666,-122.4093,Entire home/apt,1.0,0.0,2.0,362.0,Entire condo,4
37.78157,-122.46191,Private room,2.0,1.0,2.0,73.0,Private room in home,4
37.79722,-122.41789,Entire home/apt,1.0,0.0,2.0,210.0,Entire guest suite,3
37.79586,-122.41915,Private room,1.0,0.0,1.0,49.0,Private room,2
37.73306,-122.39551,Entire home/apt,2.0,4.0,5.0,270.0,Entire home,8
37.77498,-122.50132,Entire home/apt,2.0,2.0,2.0,349.0,Entire rental unit,4
37.76261,-122.50133,Entire home/apt,1.0,1.0,1.0,193.0,Entire rental unit,2
37.77029,-122.43528,Entire home/apt,1.0,2.0,2.0,395.0,Entire condo,2
37.775085,-122.407234,Entire home/apt,1.0,1.0,1.0,199.0,Entire condo,2
37.78779,-122.45167,Entire home/apt,1.0,1.0,1.0,118.0,Entire rental unit,2
37.77787,-122.44858,Entire home/apt,2.0,3.0,3.0,887.0,Entire home,5
37.72937,-122.46126,Entire home/apt,1.0,2.0,2.0,201.0,Entire home,5
37.72655,-122.42029,Private room,1.0,1.0,1.0,48.0,Private room in home,2
37.74826,-122.42699,Entire home/apt,1.0,2.0,2.0,200.0,Entire condo,4
37.78628,-122.43754,Entire home/apt,1.0,1.0,1.0,85.0,Entire guest suite,1
37.78671,-122.38976,Entire home/apt,1.0,1.0,1.0,175.0,Entire rental unit,3
37.79187,-122.40679,Private room,1.0,1.0,2.0,135.0,Private room in home,6
37.77617604,-122.4419368,Entire home/apt,1.0,1.0,1.0,216.0,Entire condo,2
37.77403,-122.42561,Entire home/apt,1.0,2.0,2.0,450.0,Entire rental unit,4
37.73452,-122.39793,Entire home/apt,1.0,1.0,2.0,187.0,Entire guest suite,3
37.72046,-122.46311,Private room,1.0,1.0,2.0,68.0,Private room in home,2
37.72667,-122.42027,Private room,1.0,1.0,1.0,55.0,Private room in home,2
37.75178,-122.49341,Private room,1.0,1.0,2.0,154.0,Private room in home,4
37.78593,-122.41463,Entire home/apt,1.0,0.0,1.0,78.0,Entire rental unit,2
37.74798,-122.50688,Entire home/apt,1.0,1.0,1.0,94.0,Entire guest suite,2
37.72133,-122.46872,Private room,1.0,1.0,1.0,40.0,Private room in home,1
37.78599,-122.41465,Entire home/apt,1.0,0.0,1.0,101.0,Entire rental unit,3
37.74033,-122.4304,Entire home/apt,1.0,2.0,2.0,300.0,Entire home,4
37.76432,-122.48151,Entire home/apt,1.0,1.0,2.0,145.0,Entire rental unit,4
37.73883,-122.41796,Entire home/apt,1.0,2.0,2.0,213.0,Entire home,4
37.76302,-122.48987,Entire home/apt,1.0,1.0,2.0,152.0,Entire rental unit,3
37.80542,-122.44152,Entire home/apt,1.5,2.0,2.0,250.0,Entire home,4
37.76033,-122.43142,Entire home/apt,1.0,1.0,1.0,190.0,Entire guest suite,2
37.77633,-122.44402,Entire home/apt,1.0,1.0,2.0,225.0,Entire condo,4
37.72991,-122.44753,Entire home/apt,1.0,1.0,1.0,66.0,Entire guest suite,2
37.75163,-122.44162,Entire home/apt,1.0,2.0,1.0,218.0,Entire guest suite,1
37.71972,-122.40361,Entire home/apt,1.0,1.0,2.0,162.0,Entire home,5
37.74735,-122.41016,Entire home/apt,2.0,2.0,2.0,193.0,Entire home,4
37.78475,-122.41636,Entire home/apt,1.0,0.0,1.0,77.0,Entire rental unit,2
37.77658,-122.44209,Entire home/apt,2.0,3.0,4.0,170.0,Entire condo,5
37.7861,-122.45186,Entire home/apt,1.0,1.0,1.0,126.0,Entire rental unit,2
37.7805,-122.47071,Entire home/apt,2.0,3.0,4.0,442.0,Entire condo,4
37.77408,-122.4306,Private room,1.0,1.0,1.0,93.0,Private room in rental unit,2
37.77401,-122.43051,Private room,1.0,1.0,1.0,87.0,Private room in rental unit,1
37.72146,-122.43942,Entire home/apt,2.0,3.0,5.0,420.0,Entire home,12
37.77652,-122.43148,Private room,1.0,1.0,1.0,137.0,Private room in rental unit,3
37.76444,-122.45559,Private room,3.0,1.0,1.0,60.0,Private room in rental unit,1
37.75644,-122.40096,Entire home/apt,1.0,1.0,1.0,113.0,Entire guest suite,2
37.75136,-122.41157,Entire home/apt,1.0,1.0,1.0,122.0,Entire rental unit,2
37.775085,-122.407234,Entire home/apt,1.0,2.0,2.0,220.0,Entire condo,4
37.72853,-122.47506,Entire home/apt,1.0,1.0,1.0,126.0,Entire guest suite,1
37.79427,-122.41917,Entire home/apt,1.0,0.0,1.0,59.0,Entire rental unit,2
37.76268,-122.42029,Entire home/apt,1.5,3.0,3.0,239.0,Entire home,6
37.7556671,-122.4073497,Entire home/apt,1.0,1.0,1.0,138.0,Entire rental unit,2
37.78424,-122.41596,Entire home/apt,1.0,0.0,1.0,77.0,Entire rental unit,2
37.77939,-122.49544,Private room,2.0,1.0,1.0,65.0,Private room in home,2
37.77757,-122.49681,Private room,2.0,2.0,1.0,60.0,Private room in home,2
37.77819,-122.50385,Entire home/apt,1.0,1.0,2.0,264.0,Entire guest suite,4
37.78775,-122.41204,Private room,1.0,1.0,1.0,74.0,Room in aparthotel,1
37.78775,-122.41204,Private room,1.0,1.0,1.0,71.0,Room in aparthotel,1
37.78775,-122.41204,Private room,1.0,1.0,1.0,74.0,Room in aparthotel,1
37.77466,-122.43716,Entire home/apt,2.0,3.0,3.0,695.0,Entire guesthouse,6
37.72817,-122.417,Entire home/apt,1.0,2.0,2.0,104.0,Entire guest suite,3
37.78658,-122.44959,Entire home/apt,1.0,1.0,1.0,123.0,Entire rental unit,2
37.75229,-122.41338,Private room,1.0,1.0,1.0,81.0,Private room in home,2
37.79183,-122.45,Entire home/apt,4.0,2.0,2.0,500.0,Entire home,2
37.71889,-122.39441,Entire home/apt,1.0,2.0,3.0,169.0,Entire home,5
37.75223,-122.42439,Entire home/apt,1.0,0.0,1.0,104.0,Entire rental unit,2
37.80152,-122.42526,Private room,2.0,1.0,1.0,67.0,Private room in home,2
37.75428,-122.42457,Entire home/apt,1.0,1.0,1.0,100.0,Entire rental unit,3
37.7908479,-122.435288,Entire home/apt,1.0,0.0,1.0,95.0,Entire rental unit,2
37.7908479,-122.435288,Entire home/apt,1.0,0.0,1.0,95.0,Entire home,2
37.78574,-122.41157,Entire home/apt,1.0,0.0,1.0,73.0,Entire rental unit,2
37.79577,-122.41718,Entire home/apt,1.0,1.0,1.0,81.0,Entire rental unit,1
37.80335,-122.42327,Private room,2.0,1.0,1.0,62.0,Private room in home,2
37.74282,-122.40926,Entire home/apt,1.0,0.0,1.0,171.0,Entire home,2
37.76647,-122.44872,Entire home/apt,1.0,2.0,3.0,205.0,Entire guesthouse,4
37.72366,-122.43981,Private room,1.0,1.0,1.0,57.0,Private room in home,1
37.76661,-122.44775,Entire home/apt,2.0,3.0,4.0,252.0,Entire rental unit,6
37.74624,-122.41637,Entire home/apt,1.0,0.0,1.0,150.0,Entire guest suite,2
37.75771,-122.50032,Entire home/apt,1.0,2.0,2.0,154.0,Entire guest suite,4
37.75432,-122.40088,Entire home/apt,1.0,1.0,2.0,215.0,Entire home,3
37.76966,-122.43746,Entire home/apt,1.0,2.0,3.0,160.0,Entire rental unit,4
37.76411,-122.4618,Entire home/apt,1.0,0.0,1.0,90.0,Entire rental unit,2
37.76221,-122.44159,Entire home/apt,1.0,2.0,2.0,363.0,Entire condo,4
37.79186249,-122.4240723,Private room,1.0,1.0,1.0,250.0,Private room in condo,2
37.79752,-122.41215,Entire home/apt,1.0,0.0,2.0,70.0,Entire rental unit,2
37.77473,-122.43182,Entire home/apt,1.0,2.0,5.0,140.0,Entire rental unit,5
37.759693,-122.423004,Entire home/apt,1.0,3.0,3.0,421.0,Entire rental unit,5
37.77512,-122.42004,Entire home/apt,1.0,1.0,1.0,167.0,Entire condo,2
37.74756,-122.48892,Entire home/apt,1.0,1.0,3.0,158.0,Entire rental unit,4
37.783466,-122.471701,Entire home/apt,1.0,1.0,2.0,127.0,Entire rental unit,1
37.80122,-122.42536,Private room,2.0,1.0,1.0,77.0,Private room in home,2
37.78559,-122.41654,Entire home/apt,1.0,0.0,1.0,83.0,Entire rental unit,2
37.72354,-122.40393,Private room,1.0,1.0,1.0,82.0,Private room in guest suite,2
37.75807,-122.44195,Entire home/apt,2.0,2.0,2.0,315.0,Entire condo,4
37.76393,-122.42817,Private room,1.0,1.0,1.0,111.0,Private room in rental unit,2
37.75923,-122.44279,Entire home/apt,1.5,3.0,3.0,413.0,Entire rental unit,4
37.79574,-122.41739,Entire home/apt,1.0,2.0,2.0,89.0,Entire rental unit,2
37.77296,-122.42525,Private room,1.0,1.0,1.0,114.0,Private room in rental unit,2
37.72275,-122.43947,Private room,1.0,1.0,1.0,49.0,Private room in home,1
37.75204,-122.45008,Entire home/apt,1.0,2.0,3.0,360.0,Entire home,6
37.80245,-122.42344,Private room,2.0,1.0,1.0,70.0,Private room in home,2
37.7137,-122.44863,Private room,1.0,1.0,1.0,48.0,Private room in home,1
37.75842,-122.43442,Private room,1.0,1.0,2.0,100.0,Private room in rental unit,2
